case_number,job_title,worksite_city,worksite_state,worksite_postal_code,violentcrimesperpop,cost_of_living_2020,missing_crime_data,case_status
I-203-20346-954223,Editor,NEW YORK,NY,10016,1171.84,1.804,1,Certified
I-200-20219-756030,Research Assistant 2,PORTLAND,OR,97239,1841.38,1.177,0,Certified
I-200-24001-600856,SOLUTION ARCHITECT II,HIGH POINT,NC,27265,1787.2,0.952,1,Certified
I-200-23066-827432,Software Engineer,SUNNYVALE,CA,94086,249.62,1.681,0,Certified
I-200-22101-055458,Software Engineering Senior Advisor,MORRIS PLAINS,NJ,07950,162.1,1.185,1,Certified
I-200-24058-750791,Sales Planning Analyst ,WALLER,TX,77484,599.78,0.912,1,Certified
I-200-19304-118497,Manager,DALLAS,TX,75201,1744.19,0.973,0,Certified
I-200-20261-829563,Software Application Developer,DENVER,CO,80203,1038.27,1.125,0,Certified
I-200-20255-818577,Sr. Technical Lead,VIENNA,VA,22182,1135.5,1.56,1,Certified
I-200-23317-496924,Medical Laboratory Senior Manager,DES PLAINES,IL,60018,599.78,1.147,1,Certified
I-200-21277-621697,Senior Accountant,VESTAL,NY,13850,1171.84,1.032,1,Certified
I-200-20135-573301,Archivist,NEW YORK,NY,10003,1171.84,1.804,1,Certified
I-200-22307-567831,Senior Software Engineer,PRINCETON,NJ,08540,73.73,1.135,0,Certified
I-200-22362-662448,Applications Consultant 2,DAYTON,OH,45458,1629.43,0.868,0,Certified
I-200-22195-353469,Sr. SharePoint Developer,WASHINGTON,DC,20001,3048.38,1.561,0,Certified
I-200-21229-526678,Biostatistician,KING OF PRUSSIA,PA,19406,1262.47,1.135,1,Certified
I-200-21036-059450,IT Business Analyst ,ONTARIO,CA,91761,1160.86,1.068,0,Certified
I-200-22354-651075,Lead Product Analyst,BRIDGEWATER,NJ,08807,88.7,1.276,0,Certified
I-200-21062-116465,ETL / DATA WAREHOUSE CONSULTANT,NEW YORK,NY,10001,1171.84,1.804,1,Certified
I-200-22321-594250,Senior Finance Manager – R&D,SAN JOSE,CA,95110,327.36,1.681,1,Certified
I-200-21252-573011,Package Solution Consultant,ATLANTA,GA,30308,4026.59,1.003,0,Certified
I-200-24197-197433,"Authorized Officer, Engineer",WEEHAWKEN,NJ,07086,583.07,1.804,0,Certified
I-200-20157-630742,Vice President ,NEW YORK,NY,10007,1171.84,1.804,1,Certified
I-200-22010-817902,Computer Specialist / Testing and Quality Analyst 3,PHILADELPHIA,PA,19103,1279.6,1.137,0,Certified
I-200-23361-593634,"Executive Director, Origination/Client Manager",NEW YORK,NY,10017,1171.84,1.804,1,Certified
I-200-24044-715056,Civil Engineer,MCLEAN,VA,22101,1135.5,1.561,1,Certified
I-200-22061-945855,"Senior Commercial Financial Analyst, Process & Deal",KIRKLAND,WA,98034,221.18,1.357,0,Certified
I-200-22279-513713,Tax Manager,LONG ISLAND CITY,NY,11101,1171.84,1.804,1,Certified
I-200-20060-363707,Investment Banking Analyst,NEW YORK,NY,10179,1171.84,1.804,1,Certified
I-200-21043-075572,Senior Technical Engineer ,SAN JOSE,CA,95002,327.36,1.681,1,Certified
I-200-24018-647897,DEVELOPER,AUSTIN,TX,78729,599.78,1.023,0,Certified
I-200-23128-000421,Intern Architect - Recent College Graduate ,NEW YORK,NY,10003,1171.84,1.804,1,Certified
I-200-21083-169993,Staff Scientist,JUPITER,FL,33458,3235.45,1.099,1,Certified
I-200-20136-576330,Software Developer,HOUSTON,TX,77042,599.78,0.92,1,Certified
I-200-22040-889892,Component Design Engineer,HUDSON,MA,01749,1968.89,1.166,1,Certified
I-200-20181-686016,Dentist,ALBUQUERQUE,NM,87120,1595.37,0.925,0,Certified
I-200-21132-308299,Engineer I,ALEXANDRIA,VA,22311,659.56,1.561,0,Certified
I-200-22290-533783,SOX IT Manager,FREMONT,CA,94536,483.47,1.679,0,Certified
I-200-19322-152208,"Manager, Software Development 1 ",SAN JOSE,CA,95131,327.36,1.681,1,Certified
I-200-23256-344023,Data Warehouse Specialist,DETROIT,MI,48226,599.78,0.962,1,Certified
I-200-20139-579771,Associate Director JC40 - Information Technology Project Man,CHADDS FORD,PA,19317,1262.47,1.124,1,Certified
I-200-21299-667269,Manager,WOODBRIDGE,NJ,07095,408.3,1.226,0,Certified
I-200-22124-134376,Software Developer,DUBLIN,OH,43017,64.07,0.924,0,Certified
I-200-20345-947520,Application Development Engineering Specialist,MADISON,WI,53783,321.68,1.066,0,Certified
I-200-21064-123794,Software Engineer 1615.12873,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-200-24165-107592,Dentist,CLEVELAND,OH,44109,1678.54,0.931,0,Certified
I-200-22105-075537,FinTech Strategies Analyst,MALVERN,PA,19355,1262.47,1.126,1,Certified
I-200-21011-006560,"Manager, Sales & Program Management ",FARMINGTON HILLS,MI,48331,599.78,0.957,1,Certified
I-200-23107-938572,"Lead Analyst, Evaluation",CUMMING,GA,30028,4026.59,0.996,1,Certified
I-200-22136-177435,Software Test Engineer,AUGUSTA,GA,30904,845.39,0.88,0,Certified
I-200-20353-969955,Software (Salesforce) Developer,JOHNSTON,RI,02919,353.39,1.053,1,Certified
I-200-20127-547656,Principal Systems Test Engineer,NORTHRIDGE,CA,91325,327.36,1.36,1,Certified
I-200-22165-278889,Cloud Consultant,TARENTUM,PA,15084,1262.47,0.943,1,Certified
I-200-24247-310234,Sr. Manager - Delivery,SHEBOYGAN,WI,53081,145.74,0.962,0,Certified
I-200-20212-743434,Enterprise Application Systems Analyst\Developer,DURHAM,NC,27707,1169.38,1.043,0,Certified
I-200-21218-506392,Staff Engineer,BOSTON,MA,02116,1968.89,1.51,0,Certified
I-200-24017-644629,Management Analysts - Kbgfjg186915-3,LOS ANGELES,CA,90017,327.36,1.411,1,Certified
I-200-23061-816501,Quality Assurance Engineer III,SUNNYVALE,CA,94089,249.62,1.681,0,Certified
I-200-22004-806990,Software Programmer II,HOUSTON,TX,77007,599.78,0.92,1,Certified
I-200-19317-144676,"Manager, Software Engineering",SAN FRANCISCO,CA,94105,327.36,1.861,1,Certified
I-200-24170-122479,Software Developers - KBGFJG182562-7,HOLLY SPRINGS,NC,27540,1787.2,1.05,1,Certified
I-200-20351-964492,Project Lead - SD,PLAYA VISTA,CA,90094,327.36,1.41,1,Certified
I-200-23221-251658,PRINCIPAL ARCHITECT,PRINCETON,NJ,08540,73.73,1.135,0,Certified
I-200-22076-987238,User Experience Researcher,NEW YORK,NY,10011,1171.84,1.804,1,Certified
I-200-21334-734432,Java Automation Engineer,LAWRENCEVILLE,GA,30043,364.21,0.996,0,Certified
I-200-24052-737134,Sr. Software Development Engineer In Test,PFLUGGERVILLE,TX,78860,599.78,0.883,1,Certified
I-200-21033-048496,Systems Analyst - II,SAN ANTONIO,TX,78205,599.78,0.891,1,Certified
I-200-22049-912466,Business Operations & Strategy Executive,SAN JOSE,CA,95113,327.36,1.681,1,Certified
I-200-21320-708554,TIBCO DEVELOPER,ATLANTA,GA,30346,4026.59,1.003,0,Certified
I-200-23313-492760,Technical Program Manager,CUPERTINO,CA,95014,349.61,1.681,0,Certified
I-200-22300-554324,Engineering Manager,SEATTLE,WA,98101,1399.84,1.357,0,Certified
I-200-22098-050762,System Administrator,AUSTIN,TX,78759,599.78,1.023,0,Certified
I-200-21021-025831,Data Analyst,FREMONT,CA,94539,483.47,1.679,0,Certified
I-200-20119-524967,Senior Systems Analyst,ISSAQUAH,WA,98029,223.06,1.353,1,Certified
I-203-20206-735113,Visiting Assistant Professor,LAFAYETTE,LA,70503,869.6,0.938,0,Certified
I-200-22161-267185,Corporate Strategy Associate,WAYZATA,MN,55391,1811.81,1.15,1,Certified
I-200-19345-193095,Staff Developer Advocate 1615.5031,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-200-22361-661536,QA Project Manager,OVERLAND PARK,KS,66223,874.69,0.913,1,Certified
I-203-21194-458025,Financial Strategy Advisor,STAMFORD,CT,06901,599.78,1.506,1,Certified
I-200-22154-239972,"Software Developers, Applications - KBGFJG197346-1",COLUMBUS,OH,43212,1118.78,0.925,0,Certified
I-200-22054-922805,Component Design Engineer,SANTA CLARA,CA,95054,327.36,1.681,1,Certified
I-200-20085-434285,Biostatistician,LOS ANGELES,CA,90048,327.36,1.411,1,Certified
I-200-23324-514752,ADVANCED BUSINESS ANALYST,LIVE OAK,TX,78233,599.78,0.891,1,Certified
I-200-23069-840261,Software Engineer 1615.45335.23,SAN BRUNO,CA,94066,327.36,1.86,1,Certified
I-200-23094-901072,Operations Engineer II,NASHVILLE,TN,37203,1633.81,0.952,1,Certified
I-201-22166-285091,DATA ENGINEERING MANAGER,MENLO PARK,CA,94025,327.36,1.678,1,Certified
I-203-24050-730403,Art Director,BROOKLYN,NY,11222,1171.84,1.804,1,Certified
I-200-21133-311854,Database Administrator,ALPHARETTA,GA,30005,60.9,0.998,0,Certified
I-200-24238-291795,Software Developer,FARMERS BRANCH,TX,75234,599.78,0.973,1,Certified
I-200-21270-607416,Oracle ICS Consultant,IRVING,TX,75063,401.73,0.973,0,Certified
I-200-24052-735725,Professional 2 Application Delivery,BELLEVUE,WA,98007,223.06,1.357,0,Certified
I-200-20045-323482,Engineer II,LONGMONT,CO,80503,180.36,1.287,0,Certified
I-200-22130-153580,Engineering Development Group Engineer,NATICK,MA,01760,1968.89,1.508,1,Certified
I-200-19353-209155,SOFTWARE ENGINEER,SEATTLE,WA,98109,1399.84,1.357,0,Certified
I-200-21113-254085,Technical Consultant,HARRISBURG,PA,17126,2105.73,1.064,0,Certified
I-200-20344-947390,Medical Affairs Manager,TUCSON,AZ,85755,969.6,0.968,0,Certified
I-200-24065-770667,Architect,PHOENIX,AZ,85054,1097.07,1.051,0,Certified
I-200-22101-058521,Medical and Clinical Laboratory Technologists,FORT WALTON BEACH,FL,32547,3235.45,0.876,1,Certified
I-200-19330-169260,SR. PROGRAMMER ANALYST,BOSTON,MA,02210,1968.89,1.51,0,Certified
I-200-23108-940724,Software Engineer,SAN FRANCISCO,CA,94105,327.36,1.861,1,Certified
I-200-21012-008447,DevOps Engineer,HOUSTON,TX,77068,599.78,0.92,1,Certified
I-200-24130-978348,Lead Business Analyst,FRISCO,TX,75034,599.78,0.964,1,Certified
I-200-24012-637591,Senior Software Quality Assurance Engineer,ENGLEWOOD CLIFFS,NJ,07632,162.1,1.27,1,Certified
I-200-24213-235916,MARKET RESEARCH ANALYST,TOLEDO,OH,43605,984.96,0.912,0,Certified
I-200-23331-523185,System Development Engineer II,BOSTON,MA,02210,1968.89,1.51,0,Certified
I-200-21251-571070,Software Developer,LIVERMORE,CA,94551,314.07,1.453,0,Certified
I-200-24067-778378,Senior Modem Technologies Engineer,SAN DIEGO,CA,92121,327.36,1.35,1,Certified
I-200-24081-819129,MEDICAL TECHNOLOGIST,FORT SMITH,AR,72901,116.97,0.838,1,Certified
I-200-20329-925436,Component Design Engineer,FOLSOM,CA,95630,190.95,1.07,0,Certified
I-200-23335-538513,Sr. UI Developer,NEW YORK,NY,10027,1171.84,1.804,1,Certified
I-200-24239-294905,Senior Software Engineer (017040.000996),SAN LEANDRO,CA,94577,327.36,1.568,1,Certified
I-200-20345-948852,Dentist,LUMBERTON,TX,77657,599.78,0.862,1,Certified
I-200-21196-463323,Lead Engineer,NEW YORK,NY,10007,1171.84,1.804,1,Certified
I-200-20216-749029,Security Engineer,CHARLOTTE,NC,28217,1787.2,1.018,0,Certified
I-200-20310-901479, Data Engineer,SCHAUMBURG,IL,60173,599.78,1.13,1,Certified
I-200-20190-703149,Senior Systems Analyst JC60,BENTONVILLE,AR,72712,116.97,0.875,0,Certified
I-200-19289-089234,Controls Advisory IT - Manager,ATLANTA,GA,30309,4026.59,1.003,0,Certified
I-200-22187-334560,Software Tester,FRISCO,TX,75034,599.78,0.964,1,Certified
I-200-19301-111608,Senior Software Developer,BOSTON,MA,02116,1968.89,1.51,0,Certified
I-200-24172-133534,Physical Theraphy,BURLINGTON,VT,05401,179.92,1.222,0,Certified
I-200-20351-963183,Mean Stack Developer,DEARBORN,MI,48126,599.78,0.962,1,Certified
I-200-20043-316056,Software Engineer,RICHARDSON,TX,75082,272.13,0.971,0,Certified
I-200-24170-124090,Software Engineer (5),AUSTIN,TX,78701,599.78,1.023,0,Certified
I-200-24260-340711,Lawyer,NEW YORK,NY,10036,1171.84,1.804,1,Certified
I-200-23272-400934,ORACLE APPS TECHNICAL,CHARLOTTE,NC,28277,1787.2,1.018,0,Certified
I-200-20330-928372,Systems Engineer ,KATY,TX,77494,599.78,0.912,1,Certified
I-200-22083-007375,Big Data Developer,NEW HAVEN,CT,06510,599.78,1.141,1,Certified
I-200-23347-562860,Component Design Engineer,FOLSOM,CA,95630,190.95,1.07,0,Certified
I-200-21113-253511,Postdoctoral Fellow ,COLD SPRING HARBOR,NY,11724,1171.84,1.641,1,Certified
I-200-24072-792813,Technical Lead,NEWARK,NJ,07102,3928.03,1.162,0,Certified
I-200-20245-797538,Senior Systems Analyst JC60,LONG BEACH,CA,90802,327.36,1.278,1,Certified
I-200-20290-880806,Technical Specialist (Data),MECHANICSBURG,PA,17050,1262.47,1.064,1,Certified
I-200-23095-908398,"Director, Product Management",SAN JOSE,CA,95110,327.36,1.681,1,Certified
I-203-21041-067185,Computer Systems Engineer,BERKELEY,CA,94710,1625.6,1.568,0,Certified
I-200-22129-150239,Computer Specialist/System Support And Development Admin 3,HOUSTON,TX,77046,599.78,0.92,1,Certified
I-200-22301-556144,Staff Software Engineer,BENTONVILLE,AR,72712,116.97,0.875,0,Certified
I-200-20350-961975,Azure Architect,CINCINNATI,OH,45202,1562.48,0.894,0,Certified
I-200-23278-412246,UI ANALYST 2,BURLINGTON,MA,01803,1968.89,1.375,1,Certified
I-200-22292-539435,VALIDATION ENGINEER,PORTSMOUTH,NH,03801,377.97,1.163,0,Certified
I-200-19354-211124,Software Engineer,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-200-21042-070756,"Associate, Applications Support Analyst",PLANO,TX,75024,303.7,0.969,0,Certified
I-200-22102-062865,ELECTRICAL ENGINEER,ANN ARBOR,MI,48109,599.78,1.067,1,Certified
I-200-21026-034337,Program Manager III,SEATTLE,WA,98121,1399.84,1.357,0,Certified
I-200-24109-902458,Senior Transmission Manager,CHICAGO,IL,60654,599.78,1.15,1,Certified
I-200-20181-686291,QA Engineer ,IRVING,TX,75062,401.73,0.973,0,Certified
I-200-21120-276407,"MTS 1, Software Engineer",SAN JOSE,CA,95131,327.36,1.681,1,Certified
I-203-24003-612635,"Sr Director, International, Legal & Business Affairs",LOS ANGELES,CA,90067,327.36,1.411,1,Certified
I-200-21253-576711,Senior DevSecOps Engineer,ATLANTA,GA,30354,4026.59,1.003,0,Certified
I-200-20135-570439,SOFTWARE DEVELOPMENT ENGINEER I,EAST PALO ALTO,CA,94303,327.36,1.679,1,Certified
I-200-24113-910161,Credit Risk Manager,SAN FRANCISCO,CA,94105,327.36,1.861,1,Denied
I-200-21140-329304,Architect ,LOUISVILLE,KY,40202,999.13,0.912,0,Certified
I-200-22283-520054,Test Consultant 2,MILPITAS,CA,95035,327.36,1.681,0,Certified
I-200-22034-874618,Data Engineer I,ARLINGTON,VA,22202,1135.5,1.561,1,Certified
I-200-20022-267872,Architect,PARSIPPANY,NJ,07054,162.1,1.186,1,Certified
I-200-20310-899732,Lead Software Engineer - Full Stack,NAPERVILLE,IL,60563,599.78,1.099,1,Certified
I-200-22014-830106,SOFTWARE DEVELOPER,METTAWA,IL,60045,599.78,1.066,1,Certified
I-200-24159-085288,QA IT & CSV Specialist,DECATUR,IL,62522,599.78,0.9359999999999999,1,Certified
I-200-22277-510197,Rice 360 Kenya Country Director,HOUSTON,TX,77005,599.78,0.92,1,Certified
I-200-21211-492347,Application Developer,IRVING,TX,75039,401.73,0.973,0,Certified
I-200-20050-335546,SOFTWARE ENGINEER,LOS ANGELES,CA,90094,327.36,1.41,1,Certified
I-200-21315-700642,Computer Network Architects,ISELIN,NJ,08830,162.1,1.226,1,Certified
I-200-21089-185536,Associate Creative Director,HOUSTON,TX,77098,599.78,0.92,1,Certified
I-200-21049-086190,Digital Mobile Product Manager,DAVIE,FL,33314,3235.45,1.114,1,Denied
I-200-21250-567696,Senior Software Engineer,SUNNYVALE,CA,94086,249.62,1.681,0,Certified
I-200-22117-110939,LEAD APPLICATION DEVELOPER,PASADENA,CA,91101,1280.74,1.411,0,Certified
I-200-22102-062111,Java/ Python Developer ,MIDDLETOWN,NJ,07748,68.68,1.224,0,Certified
I-200-21070-139183,Systems Architect,WINDSOR MILL,MD,21244,3081.26,1.109,1,Certified
I-200-23081-870601,Senior Software Engineer Distributed Systems,OMAHA,NE,68131,599.78,0.971,1,Certified
I-200-23313-491001,Veterinarian,TONAWANDA,NY,14150,1171.84,0.985,1,Certified
I-200-23293-446321,Regional Sales Lead – GCP,MILPITAS,CA,95035,327.36,1.681,0,Certified
I-200-20240-791485,Senior Software Engineer,SAN FRANCISCO,CA,94104,327.36,1.861,1,Certified
I-200-23039-760485,Business Analyst,DENTON,TX,76210,694.91,0.962,0,Certified
I-200-19315-137337,Financial Quantitative Analysts - KBGFJG71686-2,NEW YORK,NY,10036,1171.84,1.804,1,Certified
I-200-22294-544738,Software Developer,PORTLAND,OR,97210,1841.38,1.177,0,Certified
I-200-19280-073283,Financial Analysts,NEW YORK,NY,10036,1171.84,1.804,1,Certified
I-200-21355-777976,Manager JC50,DOWNEY,CA,90242,514.99,1.337,0,Certified
I-200-24124-955924,SENIOR MACHINE LEARNING ENGINEER,SANTA CLARA,CA,95054,327.36,1.681,1,Certified
I-200-23173-135087,Associate Economist,FORT COLLINS,CO,80526,787.17,1.109,1,Certified
I-200-21039-062175,Research Scientist,MENLO PARK,CA,94025,327.36,1.678,1,Certified
I-200-23114-958099,Component Design Engineer ,SANTA CLARA,CA,95054,327.36,1.681,1,Certified
I-200-22326-600904,Software Developer/Software Engineer,TARRYTOWN,NY,10591,1171.84,1.349,1,Certified
I-200-22160-261969,Software Application Developer,WESTLAKE,TX,76262-8103,599.78,,1,Certified
I-200-22133-169349,SOFTWARE ENGINEER III,BENTONVILLE,AR,72716,116.97,0.875,0,Certified
I-200-24169-119275,Software Developer,ROCKY HILL,CT,06067,599.78,1.122,1,Certified
I-200-19273-194872,SENIOR SYSTEMS ANALYST JC60,LAS VEGAS,NV,89118,687.49,0.981,1,Certified
I-200-20282-870505,ETL Developer,ATLANTA,GA,30339,4026.59,1.003,0,Certified
I-200-22175-310372,"Supervisor, Quality Assurance",AUSTIN,TX,78754,599.78,1.023,0,Certified
I-200-22304-558939,Senior Systems Consultant (Piping CAD Administrator),HOUSTON,TX,77072,599.78,0.92,1,Certified
I-200-21131-304215,Software Developer,SACRAMENTO,CA,95828,1290.43,1.074,0,Certified
I-200-21029-043118,Application Engineer - 1615.44841,SUNNYVALE,CA,94089,249.62,1.681,0,Certified
I-200-23058-807046,UI UX DESIGNER,WILMINGTON,DE,19899,887.29,1.124,1,Certified
I-200-22077-991267,Senior Software Engineer,WHITE MARSH,MD,21236,3081.26,1.109,1,Certified
I-200-21272-614036,Security Researcher,SANTA CLARA,CA,95054,327.36,1.681,1,Certified
I-200-24115-921144,Software Developer,IRVING,TX,75063,401.73,0.973,0,Certified
I-200-22034-876775,Director of Basketball Strategies and Business Operations,LINCOLN,NE,68588,599.78,0.986,1,Certified
I-200-21172-415740,QA AUTOMATION,PRINCETON,NJ,08540,73.73,1.135,0,Certified
I-200-20353-969199,SR. PROGRAMMER ANALYST,SAN JOSE,CA,95134,327.36,1.681,1,Certified
I-200-22150-223721,SOFTWARE DEVELOPER,SUNNYVALE,CA,94086,249.62,1.681,0,Certified
I-200-24122-945991,"Manager, Data Operations, Marketing",BETHESDA,MD,20814,3081.26,1.561,1,Certified
I-200-21279-627931,Senior CAD Engineer,SAN JOSE,CA,95124-3450,327.36,,1,Certified
I-200-20234-782362,SOFTWARE DEVELOPER,JERSEY CITY,NJ,07310,162.1,1.804,1,Certified
I-200-22077-991244,Software Engineer,CHARLOTTE,NC,28202,1787.2,1.018,0,Certified
I-200-24144-030707,Business Analyst,LOS ANGELES,CA,90094,327.36,1.41,1,Certified
I-200-20120-527414,SR. ASSOCIATE TECHNOLOGY,ADDISON,TX,75001,599.78,0.972,1,Certified
I-200-19344-189241,Embedded System Engineer ñ Resource Management,AUBURN HILLS,MI,48326,599.78,0.989,1,Certified
I-200-22229-420724,Mechanical Design Engineer ,LOUISVILLE,KY,40225,999.13,0.912,0,Certified
I-200-22234-430003,Principal Architect III,MARYLAND HEIGHTS,MO,63043,106.93,0.941,1,Certified
I-200-20203-725599,Senior Solution Consultant,HOUSTON,TX,77024,599.78,0.92,1,Certified
I-200-20345-947958,Senior Systems Analyst JC60,IRVING,TX,75039,401.73,0.973,0,Certified
I-200-21176-426158,Support Escalation Engineer,IRVING,TX,75039,401.73,0.973,0,Certified
I-200-22189-339602,Java Developer ,GERMANTOWN,MD,20876,3081.26,1.406,1,Certified
I-200-22056-932762,Architect,FORT MILL,SC,29715,1756.32,0.909,1,Certified
I-200-24145-035643,Associate Application Developer,ALPHARETTA,GA,30005,60.9,0.998,0,Certified
I-200-21264-597315,Software Engineer,SEATTLE,WA,98161,1399.84,1.357,0,Certified
I-200-20308-896408,Software Engineer,CHICAGO,IL,60654,599.78,1.15,1,Certified
I-200-20190-701189,Developer,BLOOMINGTON,IL,61791,599.78,0.9299999999999999,1,Certified
I-200-22041-892891,Application Development Specialist,LEANDER,TX,78641,599.78,0.944,1,Certified
I-200-22346-633835,Tax Senior Manager,SAN FRANCISCO,CA,94105,327.36,1.861,1,Certified
I-200-20351-962559,SOFTWARE DEVELOPMENT ENGINEER I,SEATTLE,WA,98109,1399.84,1.357,0,Certified
I-200-23110-952074,Senior Analyst,NEW YORK,NY,10021,1171.84,1.804,1,Certified
I-200-20098-465130,Computer Programmer / Configurer 3,REDMOND,WA,98052,143.51,1.356,0,Certified
I-200-23055-800239,UX Researcher,SUNNYVALE,CA,94089,249.62,1.681,0,Certified
I-200-23241-304030,Business Analysis Manager,BELLEVUE,WA,98004,223.06,1.357,0,Certified
I-200-20078-414811,Investment Associate,PALO ALTO,CA,94301,327.36,1.679,1,Certified
I-200-20132-558552,Quality Engineer III,BENTONVILLE,AR,72716,116.97,0.875,0,Certified
I-200-22355-654526,SOFTWARE ENGINEER,PEORIA,AZ,85383,410.47,1.049,0,Certified
I-200-21109-238474,PHYSICAL THERAPIST,WHITE PLAINS,NY,10601,1171.84,1.506,1,Certified
I-203-21112-249361,Senior Product Manager,CAMPBELL,CA,95008,391.99,1.681,0,Certified
I-200-23333-529338,System Architect - II,SAN ANTONIO,TX,78288,599.78,0.891,1,Certified
I-200-23348-566931,Director of Software Enginering,NASHVILLE,TN,37203,1633.81,0.952,1,Certified
I-200-23072-842126,Applications Analyst ,PRINCETON,NJ,08540,73.73,1.135,0,Certified
I-200-20330-928781,Advisory Manager,HOUSTON,TX,77002,599.78,0.92,1,Certified
I-200-22027-858815,Research Assoc- Polarized Neutron Scattering Instrumentation,OAK RIDGE,TN,37831,1633.81,0.893,1,Certified
I-200-23053-794555,Software Engineer,MOUNTAIN VIEW,CA,94043,327.36,1.681,1,Certified
I-203-23122-985027,"SR DIRECTOR, CLIENT SERVICES TECHNOLOGY",REDONDO BEACH,CA,90277,327.36,1.277,1,Certified
I-200-23332-526729,Specialist Master,DENVER,CO,80202,1038.27,1.125,0,Certified
I-200-22073-977026,Associate,COLUMBIA,SC,29201,2109.96,0.9390000000000001,0,Certified
I-200-24166-115365,IT PROJECT MANAGER,EDISON,NJ,08817,143.94,1.226,0,Certified
I-200-24158-077381,GIS Research Scientist,AZUSA,CA,91702,658.05,1.27,0,Certified
I-200-22187-333745,Bigdata Spark Developer,CARROLLTON,TX,75010,214.51,0.971,0,Certified
I-200-24164-099584,Data Scientist,BELLEVUE,WA,98007,223.06,1.357,0,Certified
I-200-24207-223688,Structural Designer,DALLAS,TX,75219,1744.19,0.973,0,Certified
I-200-23059-811183,Energy Engineer ,YONKERS,NY,10704,737.62,1.31,0,Certified
I-200-20028-281481,Data Analyst,WASHINGTON,DC,20005,3048.38,1.561,0,Certified
I-200-21119-272685,Analyst,SAN FRANCISCO,CA,94115,327.36,1.861,1,Certified
I-200-23228-269060,Transportation Systems Analyst,LEMONT,IL,60439,599.78,1.076,1,Certified
I-200-19301-113085,Business Development Director,SAN MATEO,CA,94402,327.36,1.712,1,Certified
I-200-20260-825608,Manager JC50,ALPHARETTA,GA,30005,60.9,0.998,0,Certified
I-200-21007-999260,LIFE SCIENCE RSCH PROF 2,PALO ALTO,CA,94304,327.36,1.679,1,Certified
I-200-23271-388212,Dental Director,CHATTANOOGA,TN,37421,1960.67,0.9339999999999999,0,Certified
I-200-20252-809352,Medical Technologist ,HUGOTON,KS,67951,874.69,0.838,1,Certified
I-200-20006-233665,Application Developer,CARY,NC,27513,1787.2,1.051,1,Certified
I-200-23340-548277,Database Programmer/Analyst,RICHMOND,VA,23219,1617.17,0.954,0,Certified
I-200-23335-537794,SAP FICO Consultant,FORT WORTH,TX,76196,599.78,0.967,1,Certified
I-200-21060-110827,Professional Research Assistant,AURORA,CO,80045,1807.31,1.125,0,Certified
I-200-23286-431349,Application Developer,AUBREY,TX,76227,599.78,0.963,1,Certified
I-200-23095-908090,Business Development Manager,EDISON,NJ,08817,143.94,1.226,0,Certified
I-200-22199-357407,Component Design Engineer,SAN JOSE,CA,95134,327.36,1.681,1,Certified
I-200-20300-888567,MANIFACTURING ENGINEER,SYLMAR,CA,91342,327.36,1.407,1,Certified
I-200-23353-578289,Software Developer,HOUSTON,TX,77002,599.78,0.92,1,Certified
I-200-21099-211406,Axway Developer,NORFOLK,VA,23502,1135.5,1.004,0,Certified
I-200-22097-046082,Quality Assurance – Senior Manager,AUBREY,TX,76227,599.78,0.963,1,Certified
I-200-20049-331054,Software Test Engineer(Full Stack),BOSTON,MA,02210,1968.89,1.51,0,Certified
I-200-22062-949954,Sr. Front-End Engineer,SAN JOSE,CA,95131,327.36,1.681,1,Certified
I-200-22122-127378,Software Engineer,BRIDGEWATER,NJ,08807,88.7,1.276,0,Certified
I-200-24261-345047,Applications Engineering,MARLBOROUGH,MA,01752,505.1,1.166,0,Certified
I-200-21047-078537,Computer Programmer,PLANO,TX,75075,303.7,0.969,0,Certified
I-200-21174-420671,Stem Teacher,GREENSBORO,GA,30642,4026.59,0.845,1,Certified
I-200-23272-394509,Software Engineer,DEARBORN,MI,48120,599.78,0.962,1,Certified
I-200-20197-715755,"Senior Programmer Analyst, Siebel ",SEATTLE,WA,98119,1399.84,1.357,0,Certified
I-200-20266-839412,Software Developer,PHOENIX,AZ,85054,1097.07,1.051,0,Certified
I-200-23082-871540,Support Engineer I- External,FLUSHING,NY,11355,1171.84,1.592,1,Certified
I-200-23061-816986,Electric Propulsion System Algorithm Development Engineer,AUBURN HILLS,MI,48326,599.78,0.989,1,Certified
I-200-20240-791800,Data Analyst,TEMPLE TERRACE,FL,33637,3235.45,0.944,1,Certified
I-200-23202-206905,ADVANCED SOFTWARE DEVELOPER,ATLANTA,GA,30339,4026.59,1.003,0,Certified
I-200-20120-526434,Senior Global Technology Manager,HOUSTON,TX,77077,599.78,0.92,1,Certified
I-200-22007-815151,Manager,CEDAR RAPIDS,IA,52402,91.93,0.912,1,Certified
I-200-23063-823022,Information Technology Systems Engineer,FRUITLAND,ID,83619,345.45,0.9319999999999999,1,Certified
I-200-22017-833587,Configuration Analyst,RICHMOND,VA,23220,1617.17,0.954,0,Certified
I-200-22290-532444,Software Developer,HERNDON,VA,20171,1135.5,1.558,1,Certified
I-200-21243-555445,DEVELOPER,TULSA,OK,74134,1304.78,0.935,0,Certified
